species,bill_length_mm,body_mass_g
Adelie,39.1,3750
Adelie,39.5,3800
Adelie,40.3,3250
Adelie,36.7,3450
Adelie,39.3,3650
Adelie,38.9,3625
Adelie,39.2,4675
Adelie,34.1,3475
Adelie,42,4250
Adelie,37.8,3300
Adelie,37.8,3700
Adelie,41.1,3200
Adelie,38.6,3800
Adelie,34.6,4400
Adelie,36.6,3700
Adelie,38.7,3450
Adelie,42.5,4500
Adelie,34.4,3325
Adelie,46,4200
Adelie,37.8,3400
Adelie,37.7,3600
Adelie,35.9,3800
Adelie,38.2,3950
Adelie,38.8,3800
Adelie,35.3,3800
Adelie,40.6,3550
Adelie,40.5,3200
Adelie,37.9,3150
Adelie,40.5,3950
Adelie,39.5,3250
Adelie,37.2,3900
Adelie,39.5,3300
Adelie,40.9,3900
Adelie,36.4,3325
Adelie,39.2,4150
Adelie,38.8,3950
Adelie,42.2,3550
Adelie,37.6,3300
Adelie,39.8,4650
Adelie,36.5,3150
Adelie,40.8,3900
Adelie,36,3100
Adelie,44.1,4400
Adelie,37,3000
Adelie,39.6,4600
Adelie,41.1,3425
Adelie,37.5,2975
Adelie,36,3450
Adelie,42.3,4150
Adelie,39.6,3500
Adelie,40.1,4300
Adelie,35,3450
Adelie,42,4050
Adelie,34.5,2900
Adelie,41.4,3700
Adelie,39,3550
Adelie,40.6,3800
Adelie,36.5,2850
Adelie,37.6,3750
Adelie,35.7,3150
Adelie,41.3,4400
Adelie,37.6,3600
Adelie,41.1,4050
Adelie,36.4,2850
Adelie,41.6,3950
Adelie,35.5,3350
Adelie,41.1,4100
Adelie,35.9,3050
Adelie,41.8,4450
Adelie,33.5,3600
Adelie,39.7,3900
Adelie,39.6,3550
Adelie,45.8,4150
Adelie,35.5,3700
Adelie,42.8,4250
Adelie,40.9,3700
Adelie,37.2,3900
Adelie,36.2,3550
Adelie,42.1,4000
Adelie,34.6,3200
Adelie,42.9,4700
Adelie,36.7,3800
Adelie,35.1,4200
Adelie,37.3,3350
Adelie,41.3,3550
Adelie,36.3,3800
Adelie,36.9,3500
Adelie,38.3,3950
Adelie,38.9,3600
Adelie,35.7,3550
Adelie,41.1,4300
Adelie,34,3400
Adelie,39.6,4450
Adelie,36.2,3300
Adelie,40.8,4300
Adelie,38.1,3700
Adelie,40.3,4350
Adelie,33.1,2900
Adelie,43.2,4100
Adelie,35,3725
Adelie,41,4725
Adelie,37.7,3075
Adelie,37.8,4250
Adelie,37.9,2925
Adelie,39.7,3550
Adelie,38.6,3750
Adelie,38.2,3900
Adelie,38.1,3175
Adelie,43.2,4775
Adelie,38.1,3825
Adelie,45.6,4600
Adelie,39.7,3200
Adelie,42.2,4275
Adelie,39.6,3900
Adelie,42.7,4075
Adelie,38.6,2900
Adelie,37.3,3775
Adelie,35.7,3350
Adelie,41.1,3325
Adelie,36.2,3150
Adelie,37.7,3500
Adelie,40.2,3450
Adelie,41.4,3875
Adelie,35.2,3050
Adelie,40.6,4000
Adelie,38.8,3275
Adelie,41.5,4300
Adelie,39,3050
Adelie,44.1,4000
Adelie,38.5,3325
Adelie,43.1,3500
Adelie,36.8,3500
Adelie,37.5,4475
Adelie,38.1,3425
Adelie,41.1,3900
Adelie,35.6,3175
Adelie,40.2,3975
Adelie,37,3400
Adelie,39.7,4250
Adelie,40.2,3400
Adelie,40.6,3475
Adelie,32.1,3050
Adelie,40.7,3725
Adelie,37.3,3000
Adelie,39,3650
Adelie,39.2,4250
Adelie,36.6,3475
Adelie,36,3450
Adelie,37.8,3750
Adelie,36,3700
Adelie,41.5,4000
Gentoo,46.1,4500
Gentoo,50,5700
Gentoo,48.7,4450
Gentoo,50,5700
Gentoo,47.6,5400
Gentoo,46.5,4550
Gentoo,45.4,4800
Gentoo,46.7,5200
Gentoo,43.3,4400
Gentoo,46.8,5150
Gentoo,40.9,4650
Gentoo,49,5550
Gentoo,45.5,4650
Gentoo,48.4,5850
Gentoo,45.8,4200
Gentoo,49.3,5850
Gentoo,42,4150
Gentoo,49.2,6300
Gentoo,46.2,4800
Gentoo,48.7,5350
Gentoo,50.2,5700
Gentoo,45.1,5000
Gentoo,46.5,4400
Gentoo,46.3,5050
Gentoo,42.9,5000
Gentoo,46.1,5100
Gentoo,44.5,4100
Gentoo,47.8,5650
Gentoo,48.2,4600
Gentoo,50,5550
Gentoo,47.3,5250
Gentoo,42.8,4700
Gentoo,45.1,5050
Gentoo,59.6,6050
Gentoo,49.1,5150
Gentoo,48.4,5400
Gentoo,42.6,4950
Gentoo,44.4,5250
Gentoo,44,4350
Gentoo,48.7,5350
Gentoo,42.7,3950
Gentoo,49.6,5700
Gentoo,45.3,4300
Gentoo,49.6,4750
Gentoo,50.5,5550
Gentoo,43.6,4900
Gentoo,45.5,4200
Gentoo,50.5,5400
Gentoo,44.9,5100
Gentoo,45.2,5300
Gentoo,46.6,4850
Gentoo,48.5,5300
Gentoo,45.1,4400
Gentoo,50.1,5000
Gentoo,46.5,4900
Gentoo,45,5050
Gentoo,43.8,4300
Gentoo,45.5,5000
Gentoo,43.2,4450
Gentoo,50.4,5550
Gentoo,45.3,4200
Gentoo,46.2,5300
Gentoo,45.7,4400
Gentoo,54.3,5650
Gentoo,45.8,4700
Gentoo,49.8,5700
Gentoo,46.2,4650
Gentoo,49.5,5800
Gentoo,43.5,4700
Gentoo,50.7,5550
Gentoo,47.7,4750
Gentoo,46.4,5000
Gentoo,48.2,5100
Gentoo,46.5,5200
Gentoo,46.4,4700
Gentoo,48.6,5800
Gentoo,47.5,4600
Gentoo,51.1,6000
Gentoo,45.2,4750
Gentoo,45.2,5950
Gentoo,49.1,4625
Gentoo,52.5,5450
Gentoo,47.4,4725
Gentoo,50,5350
Gentoo,44.9,4750
Gentoo,50.8,5600
Gentoo,43.4,4600
Gentoo,51.3,5300
Gentoo,47.5,4875
Gentoo,52.1,5550
Gentoo,47.5,4950
Gentoo,52.2,5400
Gentoo,45.5,4750
Gentoo,49.5,5650
Gentoo,44.5,4850
Gentoo,50.8,5200
Gentoo,49.4,4925
Gentoo,46.9,4875
Gentoo,48.4,4625
Gentoo,51.1,5250
Gentoo,48.5,4850
Gentoo,55.9,5600
Gentoo,47.2,4975
Gentoo,49.1,5500
Gentoo,47.3,4725
Gentoo,46.8,5500
Gentoo,41.7,4700
Gentoo,53.4,5500
Gentoo,43.3,4575
Gentoo,48.1,5500
Gentoo,50.5,5000
Gentoo,49.8,5950
Gentoo,43.5,4650
Gentoo,51.5,5500
Gentoo,46.2,4375
Gentoo,55.1,5850
Gentoo,44.5,4875
Gentoo,48.8,6000
Gentoo,47.2,4925
Gentoo,46.8,4850
Gentoo,50.4,5750
Gentoo,45.2,5200
Gentoo,49.9,5400
Chinstrap,46.5,3500
Chinstrap,50,3900
Chinstrap,51.3,3650
Chinstrap,45.4,3525
Chinstrap,52.7,3725
Chinstrap,45.2,3950
